What gender do you identify with?,What is your age?,Age range,What is your race?,About how much money do you make per year?,What is your highest level of education?,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president?","The typical Hollywood movie star is paid about 10 or 20 million dollars for every movie that they star in. Do you think it is fair that they are paid that much money, or unfair?","If you had to guess, in dollars per hour, what do you think the federal minimum wage is?","And in your opinion, in dollars per hour, what do you believe the federal minimum wage should be?","If you had to guess, in percentage, what do you believe the federal tax rate is for individuals making more than 500 thousand dollars per year?","And in your opinion, in percentage, what do you believe the federal tax rate should be for these individuals?","In general, do you believe that the government should redistribute wealth from the rich to the poor?","If the government were to redistribute wealth, do you think it would personally benefit you?","And if the government were to redistribute wealth, do you think it would benefit most of the people you know?","Would you support a universal basic income, in which every American would receive an annual sum of money from the government to pay for basic needs, like food and housing?",Do you feel that you are being fairly compensated by your employer for the work that you do?,"The average CEO is paid about 16 million dollars per year. Do you think it is fair that they are paid that much money, or unfair?","This next question is about your physical appearance, and you may choose not to respond if it makes you uncomfortable. On a scale of 1-10, how physically attractive are you?"
Female,70,65+,White,,College degree,Independent,Moderate,Strongly Approve,Fair,,,,,No,No,No,Yes,Yes,Unfair,5
Male,55,55-64,White,,College degree,Democrat,Liberal,Strongly Disapprove,Fair,8.4,,30,,No,Yes,Yes,No,Yes,Unfair,8
Male,56,55-64,White,,Graduate degree,Republican,Conservative,Strongly Approve,DK/REF,10,15,,,DK/REF,Yes,DK/REF,DK/REF,Yes,DK/REF,Very attractive
Female,24,18-24,Other,75000,College degree,Democrat,Liberal,Strongly Disapprove,Unfair,5,15,20,35,Yes,Yes,Yes,Yes,Yes,Unfair,6
Female,73,65+,White,,Some college,Republican,Conservative,Somewhat Approve,Unfair,11,,26,,Yes,No,Yes,No,No,Unfair,DK/REF
Male,51,45-54,White,85000,Graduate degree,Republican,Moderate,Somewhat Disapprove,Fair,10,,40,50,No,No,No,Yes,No,Fair,DK/REF
Male,44,35-44,Black,,High school or less,Republican,Conservative,Strongly Approve,Unfair,10,11,,,No,No,No,No,Yes,Fair,7
Female,47,45-54,White,,Graduate degree,Independent,Moderate,Strongly Disapprove,Fair,8,11,36,33,No,No,No,No,Yes,Unfair,5
Male,46,45-54,White,200000,College degree,Republican,Conservative,Strongly Approve,Unfair,10,11,35,35,No,No,No,No,No,Unfair,Very attractive
Female,44,35-44,Black,45000,Some college,Democrat,Conservative,Strongly Disapprove,Fair,15,20,50,70,Yes,Yes,Yes,Yes,No,Unfair,9
Male,40,35-44,Asian,112000,Graduate degree,Independent,Moderate,Strongly Disapprove,DK/REF,12,,,26,Yes,No,Yes,Yes,Yes,Unfair,4
Female,69,65+,White,20000,Other,Independent,Conservative,Somewhat Approve,Unfair,8,12,30,30,No,No,No,No,DK/REF,Unfair,5
Female,23,18-24,Other,40000,Some college,Independent,Liberal,Strongly Disapprove,Fair,8,15,20,25,Yes,Yes,Yes,Yes,Yes,Unfair,8
Female,49,45-54,White,,College degree,Democrat,Moderate,Strongly Disapprove,DK/REF,7,12,15,25,DK/REF,No,No,No,No,Unfair,7
Male,23,18-24,Black,,College degree,Independent,Liberal,Strongly Disapprove,Fair,10,10,,,Yes,No,Yes,Yes,Yes,Unfair,DK/REF
Female,33,25-34,White,,Some college,Independent,Moderate,Strongly Disapprove,Fair,8,15,35,40,No,No,No,No,Yes,Unfair,7
Male,42,35-44,White,,College degree,Independent,Moderate,Neither approve nor disapprove,Fair,7,7,40,25,No,Yes,Yes,No,Yes,Fair,5
Male,54,45-54,Black,40000,Some college,Democrat,Liberal,Strongly Disapprove,Fair,11,11,25,25,Yes,Yes,Yes,Yes,Yes,Fair,8
Male,65,65+,White,,College degree,Independent,Moderate,Strongly Disapprove,DK/REF,7,,40,,No,No,No,No,No,Fair,DK/REF
Female,69,65+,White,5000,College degree,Independent,Moderate,Strongly Disapprove,Unfair,15,15,,,No,No,No,No,Yes,Unfair,7
Male,45,45-54,White,,College degree,Republican,Conservative,Strongly Approve,Fair,7.25,7.25,39,20,No,DK/REF,DK/REF,No,Yes,Fair,5
Male,26,25-34,White,36000,High school or less,Democrat,Moderate,Somewhat Disapprove,Unfair,10,15,5,20,Yes,Yes,Yes,Yes,No,Unfair,7
Male,64,55-64,White,30000,High school or less,Republican,Conservative,Strongly Approve,Fair,10.5,10,40,40,No,Yes,Yes,No,Yes,Fair,8
Male,68,65+,White,,Some college,Democrat,Liberal,Strongly Disapprove,Fair,8,15,28,35,Yes,No,Yes,Yes,No,Unfair,5
Female,25,25-34,Black,,Graduate degree,Democrat,Conservative,Strongly Disapprove,Unfair,9,13,20,20,Yes,Yes,Yes,Yes,No,Unfair,7
Male,21,18-24,White,40000,Some college,Democrat,Moderate,Strongly Disapprove,Fair,7.25,9,15,20,Yes,No,No,No,Yes,Fair,DK/REF
Female,57,55-64,Black,,High school or less,Democrat,Conservative,Strongly Disapprove,Unfair,20,20,10,1,Yes,No,No,Yes,No,Unfair,Very attractive
Female,71,65+,White,70000,Graduate degree,Independent,Moderate,Strongly Approve,Fair,17,20,50,50,No,No,No,No,Yes,Fair,6
Male,75,65+,DK/REF,,Graduate degree,Republican,Conservative,Strongly Approve,Fair,15,13,23,,No,No,No,No,Yes,Fair,7
Female,48,45-54,Black,30000,College degree,Democrat,Conservative,Somewhat Disapprove,Fair,15,15,,,Yes,Yes,Yes,Yes,No,Unfair,9
Female,70,65+,Black,,High school or less,Democrat,Liberal,Somewhat Approve,Fair,,7.25,,,Yes,No,Yes,Yes,Yes,Unfair,5
Male,51,45-54,White,,High school or less,Republican,Conservative,Strongly Approve,Fair,7.85,7.85,33,33,No,No,No,No,Yes,Fair,8
Male,71,65+,White,,College degree,Democrat,Moderate,Strongly Disapprove,DK/REF,7.3,12.5,33,35,DK/REF,DK/REF,Yes,No,Yes,Unfair,5
Male,30,25-34,Black,150000,College degree,Democrat,Liberal,Strongly Disapprove,Unfair,8.15,13,4,,No,No,No,No,DK/REF,Unfair,8
Male,30,25-34,White,40000,Some college,Republican,Moderate,Neither approve nor disapprove,Fair,13,15,5,25,No,Yes,Yes,No,No,Unfair,8
Male,40,35-44,Black,35000,High school or less,Independent,Moderate,Somewhat Disapprove,Unfair,15,15,15,15,No,No,No,Yes,No,Unfair,7
Female,60,55-64,White,75000,Some college,Democrat,Conservative,Strongly Disapprove,Unfair,7.25,10,40,40,Yes,No,No,No,No,Unfair,DK/REF
Male,61,55-64,White,,Graduate degree,Independent,Moderate,Strongly Disapprove,Fair,12,,33,25,DK/REF,No,No,No,Yes,Fair,7
Female,70,65+,White,,Some college,Independent,Liberal,Strongly Disapprove,Fair,15,15,93,35,No,No,Yes,No,DK/REF,Unfair,DK/REF
Male,85,65+,Other,,College degree,Independent,Conservative,Strongly Disapprove,DK/REF,8,16,50,30,DK/REF,No,No,No,DK/REF,Fair,DK/REF
Male,49,45-54,White,92000,Graduate degree,Independent,Conservative,Neither approve nor disapprove,Unfair,9,10.5,33,33,No,No,No,No,Yes,Unfair,5
Female,58,55-64,White,100000,College degree,Independent,Conservative,Strongly Approve,Unfair,11,15,27,25,No,No,No,No,Yes,Fair,6
Male,20,18-24,DK/REF,20000,Some college,Independent,DK/REF,Neither approve nor disapprove,Unfair,7.25,9,,10,Yes,Yes,Yes,Yes,Yes,Unfair,8
Female,61,55-64,White,100000,High school or less,Independent,Conservative,Strongly Approve,Unfair,2,1.5,10,,No,No,Yes,No,DK/REF,Fair,Very attractive
Female,40,35-44,White,,High school or less,Independent,Moderate,Strongly Approve,Unfair,,12,20,,No,Yes,Yes,Yes,Yes,Unfair,DK/REF
Female,18,18-24,Black,,High school or less,Democrat,Moderate,Somewhat Approve,Fair,12,9,9,9,Yes,Yes,Yes,Yes,Yes,Unfair,8
DK/REF,77,65+,White,7536,High school or less,Democrat,Moderate,Strongly Disapprove,Fair,8,10,,,Yes,DK/REF,DK/REF,Yes,DK/REF,Unfair,2
Male,22,18-24,White,,Some college,Democrat,Liberal,Strongly Disapprove,DK/REF,8.25,12,35,45,Yes,Yes,No,Yes,Yes,Unfair,5
Female,21,18-24,Latino,60000,College degree,Republican,Moderate,Somewhat Disapprove,Unfair,,14,25,10,No,Yes,Yes,Yes,No,Unfair,9
Male,47,45-54,White,23400,High school or less,Democrat,Liberal,Strongly Approve,Unfair,10,30,30,28,No,No,No,No,Yes,Unfair,Very attractive
Male,70,65+,White,30000,High school or less,Independent,Moderate,Strongly Approve,Unfair,7,8.5,25,25,Yes,No,No,No,Yes,Fair,6
Male,67,65+,White,,Graduate degree,Independent,Moderate,Neither approve nor disapprove,Unfair,8,,25,25,No,No,No,No,DK/REF,Unfair,DK/REF
Male,74,65+,White,30000,Some college,Independent,Conservative,Neither approve nor disapprove,Unfair,8.5,15,15,30,No,No,No,Yes,No,Unfair,5
Female,69,65+,White,,Some college,Independent,Conservative,Strongly Disapprove,Unfair,15,13,30,,No,No,No,Yes,No,Unfair,6
Male,71,65+,White,,Graduate degree,Independent,Conservative,Strongly Approve,Unfair,10,10,20,25,No,No,No,No,Yes,Unfair,6
Male,65,65+,White,,Graduate degree,Republican,Conservative,Strongly Approve,DK/REF,8,10,40,33,No,DK/REF,DK/REF,No,Yes,Fair,8
Female,70,65+,Black,14000,High school or less,Democrat,DK/REF,Strongly Disapprove,Unfair,8.5,15,,,No,No,Yes,Yes,No,Unfair,Very attractive
Female,47,45-54,White,60000,High school or less,Republican,Conservative,Strongly Approve,Unfair,7,12,20,20,No,No,No,No,Yes,Unfair,9
Male,48,45-54,Black,150000,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,15,15,40,,No,No,No,Yes,Yes,Fair,Very attractive
Female,66,65+,White,,Some college,Republican,DK/REF,Strongly Approve,Unfair,,15,,,No,Yes,Yes,Yes,No,Unfair,7
Female,31,25-34,White,21000,College degree,Independent,Conservative,Somewhat Approve,DK/REF,10,,,,No,Yes,Yes,No,Yes,DK/REF,4
Female,70,65+,White,,Some college,Democrat,Liberal,Strongly Disapprove,Unfair,11.75,9,25,40,No,No,No,No,DK/REF,Unfair,DK/REF
Female,60,55-64,White,,High school or less,Republican,Conservative,Strongly Approve,Unfair,11,12,,,Yes,No,Yes,Yes,No,Unfair,5
Female,80,65+,White,55000,College degree,Democrat,Moderate,Strongly Disapprove,DK/REF,,,,,No,No,No,Yes,Yes,Unfair,DK/REF
Male,56,55-64,White,,College degree,Republican,Moderate,Strongly Disapprove,Fair,11,15,35,,Yes,No,No,DK/REF,Yes,Fair,8
Male,70,65+,White,120000,Graduate degree,Independent,Moderate,Strongly Approve,Unfair,75,35,37,20,No,No,No,No,Yes,Unfair,8
Female,77,65+,White,150000,Other,Democrat,Liberal,Strongly Disapprove,Unfair,15,20,33,33,Yes,No,No,Yes,No,Unfair,8
Male,78,65+,White,,College degree,Republican,Conservative,DK/REF,Unfair,8,10,50,,No,Yes,No,No,Yes,Unfair,Very attractive
Female,40,35-44,White,20000,Some college,Independent,Moderate,Strongly Disapprove,Unfair,10,15,3,25,Yes,Yes,Yes,Yes,No,Unfair,Not attractive at all
Female,60,55-64,White,30000,Some college,DK/REF,DK/REF,DK/REF,DK/REF,10,10,,,Yes,Yes,Yes,DK/REF,Yes,DK/REF,DK/REF
Female,76,65+,White,50000,High school or less,Independent,Moderate,Strongly Approve,Unfair,,,,,Yes,Yes,Yes,Yes,No,Unfair,5
Male,85,65+,White,130000,Graduate degree,Republican,Conservative,Somewhat Approve,Unfair,10,10,50,15,No,Yes,Yes,Yes,No,Unfair,5
Male,66,65+,Other,25000,Some college,Democrat,Conservative,Somewhat Approve,Unfair,15,15,10,25,Yes,Yes,Yes,Yes,No,Unfair,6
Female,64,55-64,Other,60000,College degree,Democrat,Moderate,Strongly Disapprove,DK/REF,11,11,15,4,Yes,Yes,Yes,Yes,DK/REF,Unfair,8
Male,68,65+,White,,College degree,Independent,Conservative,Strongly Approve,Unfair,8,8,10,10,DK/REF,No,No,No,Yes,Unfair,5
Female,82,65+,White,,Some college,Independent,Moderate,Somewhat Disapprove,DK/REF,7,10,,50,Yes,Yes,No,No,No,Unfair,2
Male,51,45-54,White,,High school or less,Democrat,Liberal,Strongly Disapprove,Fair,8,10,38,38,Yes,Yes,Yes,No,Yes,Unfair,7
Male,70,65+,White,45000,Some college,Republican,Conservative,Somewhat Approve,Unfair,18,25,,,No,No,Yes,No,Yes,Unfair,8
Male,50,45-54,DK/REF,,High school or less,Democrat,Moderate,Strongly Approve,DK/REF,,,,,No,DK/REF,DK/REF,No,DK/REF,DK/REF,Very attractive
Female,65,65+,White,60000,College degree,Republican,Moderate,Strongly Approve,Unfair,15,15,38,30,No,DK/REF,No,No,Yes,Unfair,5
Female,88,65+,White,100000,College degree,Democrat,Liberal,Strongly Disapprove,Fair,12,12,,,Yes,No,No,Yes,DK/REF,Unfair,4
Female,85,65+,White,,College degree,Republican,Conservative,Strongly Approve,Fair,10,,30,10,No,No,No,No,DK/REF,Fair,5
Male,70,65+,Asian,6000,College degree,Independent,Moderate,Somewhat Approve,DK/REF,11,15,5,6,Yes,No,Yes,Yes,Yes,Fair,DK/REF
Female,67,65+,White,,Graduate degree,Independent,Liberal,Strongly Disapprove,DK/REF,9,15,20,40,Yes,Yes,Yes,Yes,No,Unfair,7
Female,22,18-24,Latino,30000,Other,Democrat,Liberal,Strongly Disapprove,Fair,12,13,50,13,No,No,No,No,Yes,Fair,8
Female,89,65+,White,,Graduate degree,Democrat,Liberal,Strongly Disapprove,DK/REF,15,20,,20,Yes,DK/REF,Yes,No,DK/REF,Unfair,6
Male,79,65+,White,30000,High school or less,Republican,Conservative,Strongly Approve,Fair,10,10,,,DK/REF,No,No,No,No,Unfair,8
Female,19,18-24,Asian,,Some college,Democrat,Liberal,Strongly Disapprove,Fair,7.25,8.5,25,20,Yes,No,Yes,Yes,Yes,Unfair,7
Female,69,65+,White,50000,College degree,Democrat,Liberal,Strongly Disapprove,Fair,10,15,30,30,Yes,No,Yes,Yes,DK/REF,Fair,8
Female,70,65+,Black,,High school or less,DK/REF,DK/REF,Strongly Disapprove,Fair,8,20,25,,DK/REF,No,No,Yes,No,Unfair,DK/REF
Male,24,18-24,Latino,25000,Some college,Republican,Moderate,Strongly Disapprove,Fair,10,,10,,Yes,Yes,Yes,Yes,Yes,Unfair,6
Male,76,65+,White,40000,Some college,Republican,Conservative,Strongly Approve,DK/REF,10,10,25,25,No,No,No,No,Yes,Unfair,5
Female,74,65+,White,,Some college,Independent,DK/REF,Strongly Disapprove,Fair,7.75,12,,20,No,No,No,No,DK/REF,DK/REF,5
Male,79,65+,White,,High school or less,Democrat,Moderate,DK/REF,Fair,,,,,No,No,Yes,No,Yes,Unfair,6
Male,70,65+,White,70000,High school or less,Independent,Moderate,Somewhat Disapprove,DK/REF,7,7,,7,No,No,Yes,No,No,DK/REF,5
Female,64,55-64,White,,High school or less,Democrat,Moderate,Strongly Disapprove,Unfair,12.5,14,,,Yes,Yes,Yes,Yes,Yes,Unfair,8
Female,58,55-64,White,,High school or less,Independent,Conservative,Somewhat Disapprove,Unfair,7.25,10,,,Yes,No,No,Yes,Yes,Unfair,5
Male,56,55-64,White,13000,Some college,Republican,Conservative,Somewhat Approve,DK/REF,8.5,12,,25,DK/REF,Yes,Yes,Yes,DK/REF,Unfair,5
Female,70,65+,White,,College degree,Independent,Moderate,Strongly Disapprove,DK/REF,7,15,45,45,Yes,No,Yes,Yes,No,Unfair,9
Female,91,65+,White,,Graduate degree,Democrat,Moderate,Strongly Disapprove,Fair,15,18,,,No,Yes,DK/REF,DK/REF,Yes,DK/REF,9
Female,92,65+,White,,Some college,Independent,Conservative,Strongly Disapprove,DK/REF,,,,15,No,DK/REF,No,No,DK/REF,Unfair,5
Female,84,65+,White,12000,College degree,Democrat,Conservative,Strongly Disapprove,Unfair,8,12,,,No,Yes,No,No,No,Unfair,5
Female,38,35-44,White,160000,Graduate degree,Independent,Moderate,Strongly Disapprove,Unfair,15,15,30,30,No,No,No,No,Yes,Unfair,7
Female,69,65+,White,12000,Some college,Republican,Conservative,Strongly Approve,DK/REF,7,6.5,50,30,No,No,No,No,Yes,Unfair,7
Female,58,55-64,Black,,Some college,Democrat,Conservative,Strongly Disapprove,Fair,15,35,15,,Yes,No,No,Yes,No,Unfair,9
Female,58,55-64,DK/REF,,High school or less,Democrat,Moderate,Strongly Disapprove,Fair,10,15,45,,Yes,Yes,Yes,Yes,Yes,Unfair,8
Female,50,45-54,Other,62000,College degree,DK/REF,DK/REF,DK/REF,Fair,,15,7,25,Yes,Yes,No,No,No,Unfair,9
Female,70,65+,Black,30000,High school or less,Democrat,Liberal,Strongly Disapprove,Fair,15,15,10,,Yes,Yes,Yes,Yes,No,Unfair,Very attractive
Male,69,65+,Latino,5400,Some college,Independent,Moderate,Strongly Disapprove,Unfair,,15,,10,Yes,Yes,Yes,Yes,DK/REF,Unfair,8
Male,86,65+,White,20000,Graduate degree,Democrat,Liberal,Somewhat Disapprove,Fair,15,15,30,30,Yes,Yes,Yes,Yes,DK/REF,Unfair,5
Female,86,65+,Black,,High school or less,Democrat,Liberal,Strongly Disapprove,Fair,,10,,,Yes,Yes,Yes,Yes,DK/REF,Fair,DK/REF
Male,67,65+,White,150000,College degree,Independent,Liberal,Strongly Disapprove,Fair,8.25,15,37,40,No,No,No,Yes,Yes,Unfair,DK/REF
Female,58,55-64,White,,Graduate degree,Democrat,Moderate,Strongly Disapprove,Unfair,12,16,35,40,Yes,No,No,No,No,Unfair,7
Female,64,55-64,White,30000,Graduate degree,Independent,Moderate,Strongly Disapprove,Fair,15,17,30,40,DK/REF,No,No,DK/REF,Yes,Unfair,DK/REF
Female,47,45-54,White,50000,High school or less,Independent,Moderate,Strongly Approve,Unfair,7,13,,,No,No,No,Yes,Yes,Unfair,DK/REF
Male,60,55-64,Latino,,College degree,Republican,Moderate,Strongly Approve,DK/REF,13,,,20,No,No,No,No,Yes,DK/REF,DK/REF
Female,65,65+,White,200000,High school or less,Independent,Conservative,Somewhat Approve,Fair,7.5,10,,,No,No,Yes,Yes,No,Unfair,6
Male,83,65+,White,50000,High school or less,Independent,Conservative,Strongly Approve,Unfair,10,15,10,10,No,No,No,No,Yes,Unfair,5
Male,69,65+,White,,Graduate degree,Independent,Liberal,Strongly Disapprove,DK/REF,12,12,35,25,No,No,No,No,Yes,Unfair,DK/REF
Female,61,55-64,White,,Some college,Independent,Liberal,Strongly Disapprove,Unfair,11,13,43,32,Yes,Yes,No,Yes,No,Unfair,6
Female,67,65+,White,37000,Some college,Democrat,Moderate,Strongly Disapprove,Unfair,13,16,,,Yes,Yes,Yes,Yes,Yes,Unfair,6
Female,66,65+,White,40000,High school or less,Democrat,Moderate,Strongly Disapprove,DK/REF,10,12,22,30,Yes,No,Yes,Yes,Yes,Unfair,4
Female,69,65+,White,,College degree,Independent,Moderate,Strongly Disapprove,Fair,10,12,15,25,DK/REF,Yes,Yes,No,No,Unfair,Not attractive at all
Male,65,65+,DK/REF,14000,Some college,Independent,Moderate,Strongly Disapprove,Fair,12,15,35,18,Yes,Yes,Yes,Yes,Yes,Unfair,Very attractive
Male,54,45-54,Asian,100000,Graduate degree,Democrat,Conservative,Somewhat Approve,Unfair,11,15,10,10,Yes,No,No,No,Yes,Unfair,6
